"case_id","query","turn_1","turn_2","turn_3","turn_4","stock_zero_ids","expected_intent","budget_max","category","expected_no_exact_match","expected_behavior"
"smoke_001","帮我推荐 3500 以内适合学生记笔记和网课的平板","","","","","","shopping_guide","3500","数码电子","false","给出平板主推和备选，说明适合学生记笔记和网课"
"smoke_002","帮我推荐 300 以内适合通勤的鞋","","","","","","shopping_guide","300","服饰运动","true","当前商品库没有 300 内通勤鞋时，要说明没有严格匹配，并把超预算鞋称为加预算考虑"
"smoke_003","200 元以下的蓝牙耳机有哪些？","","","","","","shopping_guide","200","数码电子","true","如果没有严格符合条件的耳机，要说明没有严格匹配，不能硬推超预算商品"
"smoke_004","我马上大学了，想买一台电脑，不知道买什么样的","","","","","","decision_guide","","数码电子","false","先给大学生电脑选购判断，再结合商品给明确倾向"
"smoke_005","","帮我推荐 3500 以内适合学生记笔记和网课的平板","有没有更轻一点的？","","","","shopping_guide","3500","数码电子","false","继承上一轮平板预算和用途，并加入轻便偏好"
"smoke_006","帮我推荐 2000 以内适合上网课和通勤的降噪耳机","","","","","","shopping_guide","2000","数码电子","false","推荐耳机，说明通勤降噪和上网课适配性"
"smoke_007","退货政策是什么？","","","","","","faq","","","","回答退货政策，不返回商品推荐"
"smoke_008","兰蔻小黑瓶和资生堂红腰子，哪个更适合敏感肌修护维稳？","","","","","","compare","","美妆护肤","false","围绕敏感肌和修护维稳做明确取舍"
"smoke_009","推荐一款适合油皮的洗面奶","","","","","","shopping_guide","","美妆护肤","false","推荐洁面相关商品，不能推荐粉底、散粉、精华"
"smoke_010","50 元以内有什么低糖或无糖饮品？","","","","","","shopping_guide","50","食品饮料","false","推荐低糖或无糖饮品，价格不超过 50 元"
"smoke_011","找类似这双鞋，但价格 300 以内，适合通勤","","","","","","shopping_guide","300","服饰运动","true","未上传图片时也要基于文本预算和通勤需求给鞋类建议；如果没有 300 内现货，要说明没有严格匹配"
"smoke_012","怎么买？","","","","","","purchase_help","","","","结合上一轮商品或通用流程说明购买方式"
"smoke_013","帮我找 80 元以内适合办公室囤的无糖饮料","","","","","","shopping_guide","80","食品饮料","false","推荐无糖饮料，价格不超过 80 元，并说明适合办公室囤货"
"smoke_014","10 元以内有能提神的咖啡吗","","","","","","shopping_guide","10","食品饮料","false","在 10 元以内推荐能提神的饮品，若不是严格咖啡要说明是退一步选择"
"smoke_015","帮我找 60 元以内适合早餐代餐的方便面或麦片","","","","","","shopping_guide","60","食品饮料","false","推荐早餐或代餐相关食品，价格不超过 60 元"
"smoke_016","200 元以内适合夏天跑步的速干T恤","","","","","","shopping_guide","200","服饰运动","false","推荐速干跑步上衣，价格不超过 200 元"
"smoke_017","50 元以内有适合跑步的速干T恤吗","","","","","","shopping_guide","50","服饰运动","true","当前商品库没有 50 元以内速干T恤时，要明确没有严格匹配并给加预算建议"
"smoke_018","1200 以内适合户外徒步的防水鞋","","","","","","shopping_guide","1200","服饰运动","false","推荐户外徒步防水鞋，价格不超过 1200 元"
"smoke_019","100 元以内控油定妆粉饼或散粉","","","","","","shopping_guide","100","美妆护肤","false","推荐控油定妆底妆产品，价格不超过 100 元"
"smoke_020","50 元以内适合敏感肌修护维稳的精华","","","","","","shopping_guide","50","美妆护肤","true","当前商品库没有 50 元以内修护精华时，要明确没有严格匹配"
"smoke_021","90 元以内有货的跑步速干T恤","","","","","p_clothes_020","shopping_guide","90","服饰运动","true","评测时临时把最低价速干T恤置为 0 库存，系统不能推荐无库存商品，要说明没有严格匹配"
"smoke_022","这个能退吗，顺便帮我推荐 2000 以内耳机","","","","","","shopping_guide","2000","数码电子","false","混合售后与推荐表达时，优先完成明确商品推荐，不要跑到闲聊"
"smoke_023","看图找类似款但我还没上传图，300 以内通勤鞋","","","","","","shopping_guide","300","服饰运动","true","没有图片时不能假装看过图片；同时基于 300 元通勤鞋条件说明没有严格匹配"
"smoke_024","","帮我推荐 3500 以内适合学生记笔记和网课的平板","有没有更轻一点的？","再推荐一款续航也更好一点的","","","shopping_guide","3500","数码电子","false","三轮对话要继承预算、学生、记笔记、网课和轻便偏好"
"smoke_025","","帮我推荐 800 以内适合敏感肌修护维稳的精华","有没有更便宜一点的？","再推荐一款更温和不刺激的精华","哪个更适合长期维稳？","","compare","800","美妆护肤","false","四轮对话要继承预算和敏感肌修护维稳需求，最后做明确对比取舍"
